date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:34:54	76457/76457	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Mar%202022%2006:01:48%20GMT	https://templates.envytheme.com/eeza/default/index.html	C:/My%20Web%20Sites/Hiring/templates.envytheme.com/eeza/default/index.html	(from )
14:34:54	116/116	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Sep%202022%2009:04:54%20GMT	https://templates.envytheme.com/robots.txt		(from )
14:34:55	163826/163826	---MCZ	200	added ('OK')	text/css	etag:W/%22623814d8-27ff2%22	https://templates.envytheme.com/eeza/default/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Hiring/templates.envytheme.com/eeza/default/assets/css/bootstrap.min.css	(from https://templates.envytheme.com/eeza/default/index.html)
14:34:55	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%22623814d7-65c5%22	https://templates.envytheme.com/eeza/default/assets/css/aos.css	C:/My%20Web%20Sites/Hiring/templates.envytheme.com/eeza/default/assets/css/aos.css	(from https://templates.envytheme.com/eeza/default/index.html)
14:34:55	71750/71750	---MCZ	200	added ('OK')	text/css	etag:W/%22623814d7-11846%22	https://templates.envytheme.com/eeza/default/assets/css/animate.min.css	C:/My%20Web%20Sites/Hiring/templates.envytheme.com/eeza/default/assets/css/animate.min.css	(from https://templates.envytheme.com/eeza/default/index.html)
14:34:56	7232/7232	---MCZ	200	added ('OK')	text/css	etag:W/%22623814d9-1c40%22	https://templates.envytheme.com/eeza/default/assets/css/meanmenu.css	C:/My%20Web%20Sites/Hiring/templates.envytheme.com/eeza/default/assets/css/meanmenu.css	(from https://templates.envytheme.com/eeza/default/index.html)
14:34:56	3331/3331	---MCZ	200	added ('OK')	text/css	etag:W/%22623814d9-d03%22	https://templates.envytheme.com/eeza/default/assets/css/flaticon.css	C:/My%20Web%20Sites/Hiring/templates.envytheme.com/eeza/default/assets/css/flaticon.css	(from https://templates.envytheme.com/eeza/default/index.html)
14:34:57	112863/112863	---MCZ	200	added ('OK')	text/css	etag:W/%22623814db-1b8df%22	https://templates.envytheme.com/eeza/default/assets/css/remixicon.css	C:/My%20Web%20Sites/Hiring/templates.envytheme.com/eeza/default/assets/css/remixicon.css	(from https://templates.envytheme.com/eeza/default/index.html)
14:34:57	3116/3116	---MCZ	200	added ('OK')	text/css	etag:W/%22623814da-c2c%22	https://templates.envytheme.com/eeza/default/assets/css/odometer.min.css	C:/My%20Web%20Sites/Hiring/templates.envytheme.com/eeza/default/assets/css/odometer.min.css	(from https://templates.envytheme.com/eeza/default/index.html)
14:34:57	3184/3184	---MCZ	200	added ('OK')	text/css	etag:W/%22623814da-c70%22	https://templates.envytheme.com/eeza/default/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/Hiring/templates.envytheme.com/eeza/default/assets/css/owl.carousel.min.css	(from https://templates.envytheme.com/eeza/default/index.html)
